timestamp,task,event,priority,response_time,execution_time,deadline,result
150,Communication_Task,READY,2,0,0,150,INFO
150,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
150,Control_Task,START,4,0,0,50,RUNNING
150,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
164,Control_Task,FINISH,4,0,14,50,PASS
165,Communication_Task,CONTEXT_SWITCH,2,0,0,150,INFO
165,Communication_Task,START,2,15,0,150,RUNNING
179,Communication_Task,FINISH,2,15,14,150,PASS
200,Control_Task,READY,4,0,0,50,INFO
200,Deadline_Monitor_Task,READY,4,0,0,100,INFO
200,Sensor_Task,READY,3,0,0,100,INFO
200,Logger_Task,READY,1,0,0,200,INFO
200,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
200,Control_Task,START,4,0,0,50,RUNNING
200,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
214,Control_Task,FINISH,4,0,14,50,PASS
215,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
215,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
220,Sensor_Task,INTRUSION_DETECTED,3,0,0,0,INFO
220,Emergency_Task,READY,5,0,0,20,INFO
220,Deadline_Monitor_Task,PREEMPTED,4,0,0,100,INFO
220,Emergency_Task,CONTEXT_SWITCH,5,0,0,20,INFO
220,Emergency_Task,START,5,0,0,20,RUNNING
229,Emergency_Task,FINISH,5,0,9,20,PASS
230,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
234,Deadline_Monitor_Task,FINISH,4,15,19,100,PASS
235,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
235,Sensor_Task,START,3,35,0,100,RUNNING
235,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
244,Sensor_Task,FINISH,3,35,9,100,PASS
245,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
245,Logger_Task,START,1,45,0,200,RUNNING
245,Logger_Task,MUTEX_LOCK_LOG_BUFFER,1,0,0,200,INFO
245,Logger_Task,LOGGER_WRITE,1,0,0,200,INFO
250,Control_Task,READY,4,0,0,50,INFO
250,Logger_Task,PREEMPTED,1,0,0,200,INFO
250,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
250,Control_Task,START,4,0,0,50,RUNNING
250,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
264,Control_Task,FINISH,4,0,14,50,PASS
265,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
279,Logger_Task,MUTEX_UNLOCK_LOG_BUFFER,1,45,34,200,INFO
279,Logger_Task,FINISH,1,45,34,200,PASS
300,Control_Task,READY,4,0,0,50,INFO
300,Deadline_Monitor_Task,READY,4,0,0,100,INFO
300,Sensor_Task,READY,3,0,0,100,INFO
300,Communication_Task,READY,2,0,0,150,INFO
300,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
300,Control_Task,START,4,0,0,50,RUNNING
300,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
314,Control_Task,FINISH,4,0,14,50,PASS
315,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
315,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
324,Deadline_Monitor_Task,FINISH,4,15,9,100,PASS
325,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
325,Sensor_Task,START,3,25,0,100,RUNNING
325,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
334,Sensor_Task,FINISH,3,25,9,100,PASS
335,Communication_Task,CONTEXT_SWITCH,2,0,0,150,INFO
335,Communication_Task,START,2,35,0,150,RUNNING
349,Communication_Task,FINISH,2,35,14,150,PASS
350,Control_Task,READY,4,0,0,50,INFO
350,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
350,Control_Task,START,4,0,0,50,RUNNING
350,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
364,Control_Task,FINISH,4,0,14,50,PASS
400,Control_Task,READY,4,0,0,50,INFO
400,Deadline_Monitor_Task,READY,4,0,0,100,INFO
400,Sensor_Task,READY,3,0,0,100,INFO
400,Logger_Task,READY,1,0,0,200,INFO
400,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
